player_name,position,team,rank,bye,adp,tier,sleeper_tag,sleeper_id
Ja'Marr Chase,WR1,CIN,1,10.0,,,0,
Bijan Robinson,RB1,ATL,2,5.0,,,0,
Saquon Barkley,RB2,PHI,3,9.0,,,0,
CeeDee Lamb,WR2,DAL,4,10.0,,,0,
Jahmyr Gibbs,RB3,DET,5,8.0,,,0,
Justin Jefferson,WR3,MIN,6,6.0,,,0,
Derrick Henry,RB4,BAL,7,7.0,,,0,
Nico Collins,WR4,HOU,8,6.0,,,0,
Brian Thomas Jr.,WR5,JAC,9,8.0,,,0,
Malik Nabers,WR6,NYG,10,14.0,,,0,
Puka Nacua,WR7,LAR,11,8.0,,,0,
Ashton Jeanty,RB5,LV,12,8.0,,,0,
Christian McCaffrey,RB6,SF,13,14.0,,,0,
Drake London,WR8,ATL,14,5.0,,,0,
Jonathan Taylor,RB7,IND,15,11.0,,,0,
A.J. Brown,WR9,PHI,16,9.0,,,0,
Amon-Ra St. Brown,WR10,DET,17,8.0,,,0,
Josh Jacobs,RB8,GB,18,5.0,,,0,
George Kittle,TE1,SF,19,14.0,,,0,
Brock Bowers,TE2,LV,20,8.0,,,0,
Bucky Irving,RB9,TB,21,9.0,,,0,
Ladd McConkey,WR11,LAC,22,12.0,,,0,
Kyren Williams,RB10,LAR,23,8.0,,,0,
De'Von Achane,RB11,MIA,24,12.0,,,0,
Josh Allen,QB1,BUF,25,7.0,,,0,
Lamar Jackson,QB2,BAL,26,7.0,,,0,
Chase Brown,RB12,CIN,27,10.0,,,0,
Tee Higgins,WR12,CIN,28,10.0,,,0,
Mike Evans,WR13,TB,29,9.0,,,0,
Trey McBride,TE3,ARI,30,8.0,,,0,
Jayden Daniels,QB3,WAS,31,12.0,,,0,
James Cook,RB13,BUF,32,7.0,,,0,
Jaxon Smith-Njigba,WR14,SEA,33,8.0,,,0,
Tyreek Hill,WR15,MIA,34,12.0,,,0,
Davante Adams,WR16,LAR,35,8.0,,,0,
Jalen Hurts,QB4,PHI,36,9.0,,,0,
Omarion Hampton,RB14,LAC,37,12.0,,,0,
Marvin Harrison Jr.,WR17,ARI,38,8.0,,,0,
Kenneth Walker III,RB15,SEA,39,8.0,,,0,
Garrett Wilson,WR18,NYJ,40,9.0,,,0,
Terry McLaurin,WR19,WAS,41,12.0,,,0,
DK Metcalf,WR20,PIT,42,5.0,,,0,
Chuba Hubbard,RB16,CAR,43,14.0,,,0,
Breece Hall,RB17,NYJ,44,9.0,,,0,
Joe Burrow,QB5,CIN,45,10.0,,,0,
James Conner,RB18,ARI,46,8.0,,,0,
Courtland Sutton,WR21,DEN,47,12.0,,,0,
TreVeyon Henderson,RB19,NE,48,14.0,,,0,
Jameson Williams,WR22,DET,49,8.0,,,0,
Alvin Kamara,RB20,NO,50,11.0,,,0,
DJ Moore,WR23,CHI,51,5.0,,,0,
Xavier Worthy,WR24,KC,52,10.0,,,0,
Calvin Ridley,WR25,TEN,53,10.0,,,0,
George Pickens,WR26,DAL,54,10.0,,,0,
Tetairoa McMillan,WR27,CAR,55,14.0,,,0,
DeVonta Smith,WR28,PHI,56,9.0,,,0,
David Montgomery,RB21,DET,57,8.0,,,0,
D'Andre Swift,RB22,CHI,58,5.0,,,0,
Zay Flowers,WR29,BAL,59,7.0,,,0,
Tony Pollard,RB23,TEN,60,10.0,,,0,
Sam LaPorta,TE4,DET,61,8.0,,,0,
RJ Harvey,RB24,DEN,62,12.0,,,0,
Isiah Pacheco,RB25,KC,63,10.0,,,0,
Patrick Mahomes II,QB6,KC,64,10.0,,,0,
Jaylen Waddle,WR30,MIA,65,12.0,,,0,
Aaron Jones Sr.,RB26,MIN,66,6.0,,,0,
Baker Mayfield,QB7,TB,67,9.0,,,0,
Mark Andrews,TE5,BAL,68,7.0,,,0,
Bo Nix,QB8,DEN,69,12.0,,,0,
